Timestamp (UTC),Rainfall (mm)
2025-09-25T21:00:00Z,0
2025-09-25T22:00:00Z,0
2025-09-25T23:00:00Z,0
2025-09-26T00:00:00Z,0
2025-09-29T15:00:00Z,0
2025-09-29T16:00:00Z,0
2025-09-29T17:00:00Z,0
2025-09-29T18:00:00Z,0
2025-09-29T19:00:00Z,0
2025-09-29T20:00:00Z,0
2025-09-29T21:00:00Z,0
2025-09-29T22:00:00Z,0
2025-09-29T23:00:00Z,0
2025-09-30T00:00:00Z,0
2025-09-30T01:00:00Z,0
2025-09-30T02:00:00Z,0
2025-09-30T03:00:00Z,0
2025-09-30T04:00:00Z,0
2025-09-30T05:00:00Z,0
2025-09-30T06:00:00Z,0
2025-09-30T07:00:00Z,0
2025-09-30T08:00:00Z,0
2025-09-30T09:00:00Z,0
2025-09-30T10:00:00Z,0
2025-09-30T11:00:00Z,0
2025-09-30T12:00:00Z,0
2025-09-30T12:45:00Z,0
2025-09-30T13:30:00Z,0
2025-09-30T14:15:00Z,0
2025-09-30T15:00:00Z,0
2025-09-30T15:45:00Z,0
2025-09-30T16:30:00Z,0
2025-09-30T17:15:00Z,0
2025-09-30T18:00:00Z,0
2025-09-30T18:45:00Z,0
2025-09-30T19:30:00Z,0
2025-09-30T20:15:00Z,0
2025-09-30T21:00:00Z,0
2025-09-30T21:45:00Z,0
2025-09-30T22:30:00Z,0
2025-09-30T23:15:00Z,0
2025-10-01T00:00:00Z,0
2025-10-01T00:45:00Z,0
2025-10-01T01:30:00Z,0
2025-10-01T02:15:00Z,0
2025-10-01T03:00:00Z,0
2025-10-01T03:45:00Z,0
2025-10-01T04:30:00Z,0
2025-10-01T05:15:00Z,0
2025-10-01T06:00:00Z,0
2025-10-01T06:45:00Z,0
2025-10-01T07:30:00Z,0
2025-10-01T08:15:00Z,0
2025-10-01T09:00:00Z,0
2025-10-01T09:45:00Z,0
2025-10-01T10:30:00Z,0
2025-10-01T11:15:00Z,0
2025-10-01T12:00:00Z,0
2025-10-01T12:45:00Z,0
2025-10-01T13:30:00Z,0
2025-10-01T14:15:00Z,0
2025-10-01T15:00:00Z,0
2025-10-01T15:45:00Z,0
2025-10-01T16:30:00Z,0
2025-10-01T17:15:00Z,0
2025-10-01T18:00:00Z,0
2025-10-01T18:45:00Z,0
2025-10-01T19:30:00Z,0
2025-10-01T20:15:00Z,0
2025-10-01T21:00:00Z,0
2025-10-01T21:45:00Z,0
2025-10-01T22:30:00Z,0
2025-10-01T23:15:00Z,0
2025-10-02T00:00:00Z,0
2025-10-02T00:45:00Z,0
2025-10-02T01:30:00Z,0
2025-10-02T02:15:00Z,0
2025-10-02T03:00:00Z,0
2025-10-02T03:45:00Z,0
2025-10-02T04:30:00Z,0
2025-10-02T05:15:00Z,0
2025-10-02T06:00:00Z,0
2025-10-02T06:45:00Z,0
2025-10-02T07:30:00Z,0
2025-10-02T08:15:00Z,0
2025-10-02T09:00:00Z,0
2025-10-02T09:45:00Z,0
2025-10-02T10:30:00Z,0
2025-10-02T11:15:00Z,0
2025-10-02T12:00:00Z,0
2025-10-02T12:45:00Z,0
2025-10-02T13:30:00Z,0
2025-10-02T14:15:00Z,0
2025-10-02T15:00:00Z,0
2025-10-02T15:45:00Z,0
2025-10-02T16:30:00Z,0
2025-10-02T17:15:00Z,0
2025-10-02T18:00:00Z,0
2025-10-02T18:45:00Z,0
2025-10-02T19:30:00Z,0
2025-10-02T20:15:00Z,0
2025-10-02T21:00:00Z,0
2025-10-02T21:45:00Z,0
2025-10-02T22:30:00Z,0
2025-10-02T23:15:00Z,0
2025-10-03T00:00:00Z,0
2025-10-03T00:45:00Z,0
2025-10-03T01:30:00Z,0
2025-10-03T02:15:00Z,0
2025-10-03T03:00:00Z,0
2025-10-03T03:45:00Z,0
2025-10-03T04:30:00Z,0
2025-10-03T05:15:00Z,0
2025-10-03T06:00:00Z,0
2025-10-03T06:45:00Z,0
2025-10-03T07:30:00Z,0
2025-10-03T08:15:00Z,0
2025-10-03T09:00:00Z,0
2025-10-03T09:45:00Z,0
2025-10-03T10:30:00Z,0
