Timestamp (UTC),Rainfall (mm)
2025-09-24T08:00:00Z,0
2025-09-24T09:00:00Z,0
2025-09-24T10:00:00Z,0.1
2025-09-24T11:00:00Z,0.1
2025-09-24T12:00:00Z,0
2025-09-24T13:00:00Z,0
2025-09-24T14:00:00Z,0
2025-09-24T15:00:00Z,0
2025-09-24T16:00:00Z,0
2025-09-24T17:00:00Z,0
2025-09-24T18:00:00Z,0
2025-09-24T19:00:00Z,0
2025-09-24T20:00:00Z,0
2025-09-24T21:00:00Z,0
2025-09-24T22:00:00Z,0
2025-09-24T23:00:00Z,0
2025-09-25T00:00:00Z,0
2025-09-25T01:00:00Z,0
2025-09-25T02:00:00Z,0
2025-09-25T03:00:00Z,0
2025-09-25T04:00:00Z,0
2025-09-25T05:00:00Z,0
2025-09-25T06:00:00Z,0
2025-09-25T07:00:00Z,0
2025-09-25T08:00:00Z,0
2025-09-25T09:00:00Z,0
2025-09-25T10:00:00Z,0
2025-09-25T11:00:00Z,0
2025-09-25T12:00:00Z,0
2025-09-25T13:00:00Z,0
2025-09-25T14:00:00Z,0
2025-09-25T15:00:00Z,0
2025-09-25T16:00:00Z,0
2025-09-25T17:00:00Z,0
2025-09-25T18:00:00Z,0
2025-09-25T19:00:00Z,0
2025-09-25T20:00:00Z,0
2025-09-25T21:00:00Z,0
2025-09-25T22:00:00Z,0
2025-09-25T23:00:00Z,0
2025-09-26T00:00:00Z,0
2025-09-26T00:45:00Z,0
2025-09-26T01:30:00Z,0
2025-09-26T02:15:00Z,0
2025-09-26T03:00:00Z,0
2025-09-26T03:45:00Z,0
2025-09-26T04:30:00Z,0
2025-09-26T05:15:00Z,0
2025-09-26T06:00:00Z,0
2025-09-26T06:45:00Z,0
2025-09-26T07:30:00Z,0
2025-09-26T08:15:00Z,0
2025-09-26T09:00:00Z,0
2025-09-26T09:45:00Z,0
2025-09-26T10:30:00Z,0
2025-09-26T11:15:00Z,0
2025-09-26T12:00:00Z,0
2025-09-26T12:45:00Z,0
2025-09-26T13:30:00Z,0
2025-09-26T14:15:00Z,0
2025-09-26T15:00:00Z,0
2025-09-26T15:45:00Z,0
2025-09-26T16:30:00Z,0
2025-09-26T17:15:00Z,0
2025-09-26T18:00:00Z,0
2025-09-26T18:45:00Z,0
2025-09-26T19:30:00Z,0
2025-09-26T20:15:00Z,0
2025-09-26T21:00:00Z,0
2025-09-26T21:45:00Z,0
2025-09-26T22:30:00Z,0
2025-09-26T23:15:00Z,0
2025-09-27T00:00:00Z,0
2025-09-27T00:45:00Z,0
2025-09-27T01:30:00Z,0
2025-09-27T02:15:00Z,0
2025-09-27T03:00:00Z,0
2025-09-27T03:45:00Z,0
2025-09-27T04:30:00Z,0
2025-09-27T05:15:00Z,0
2025-09-27T06:00:00Z,0
2025-09-27T06:45:00Z,0
2025-09-27T07:30:00Z,0
2025-09-27T08:15:00Z,0
2025-09-27T09:00:00Z,0
2025-09-27T09:45:00Z,0
2025-09-27T10:30:00Z,0
2025-09-27T11:15:00Z,0
2025-09-27T12:00:00Z,0
2025-09-27T12:45:00Z,0
2025-09-27T13:30:00Z,0
2025-09-27T14:15:00Z,0
2025-09-27T15:00:00Z,0
2025-09-27T15:45:00Z,0
2025-09-27T16:30:00Z,0
2025-09-27T17:15:00Z,0
2025-09-27T18:00:00Z,0
2025-09-27T18:45:00Z,0
2025-09-27T19:30:00Z,0
2025-09-27T20:15:00Z,0
2025-09-27T21:00:00Z,0
2025-09-27T21:45:00Z,0
2025-09-27T22:30:00Z,0
2025-09-27T23:15:00Z,0
2025-09-28T00:00:00Z,0
2025-09-28T00:45:00Z,0
2025-09-28T01:30:00Z,0
2025-09-28T02:15:00Z,0
2025-09-28T03:00:00Z,0
2025-09-28T03:45:00Z,0
2025-09-28T04:30:00Z,0
2025-09-28T05:15:00Z,0
2025-09-28T06:00:00Z,0
2025-09-28T06:45:00Z,0
2025-09-28T07:30:00Z,0
2025-09-28T08:15:00Z,0
2025-09-28T09:00:00Z,0
2025-09-28T09:45:00Z,0
2025-09-28T10:30:00Z,0
2025-09-28T11:15:00Z,0
